18,count
salt,31403
butter,12691
sugar,10792
pepper,10121
water,9723
eggs,9343
milk,7660
olive oil,7652
flour,6051
baking soda,5909
black pepper,5767
onion,5501
parmesan cheese,5464
garlic cloves,5441
egg,5430
baking powder,5179
vanilla,5049
cinnamon,4826
brown sugar,4599
vanilla extract,4519
lemon juice,4377
all-purpose flour,4010
sour cream,3981
tomatoes,3389
garlic,3384
garlic powder,3307
fresh ground black pepper,3114
parsley,3078
fresh parsley,2939
nutmeg,2939
chicken broth,2862
Worcestershire sauce,2818
chili powder,2801
cayenne pepper,2800
paprika,2793
cheddar cheese,2720
cornstarch,2707
honey,2622
unsalted butter,2577
pecans,2508
walnuts,2495
ground cinnamon,2474
soy sauce,2430
kosher salt,2258
heavy cream,2255
garlic clove,2250
margarine,2195
ground cumin,2113
dried oregano,1975
extra virgin olive oil,1954
powdered sugar,1910
granulated sugar,1837
buttermilk,1819
celery,1809
carrots,1793
cumin,1785
oregano,1782
cream cheese,1734
tomato paste,1710
ground black pepper,1702
carrot,1651
mayonnaise,1631
canola oil,1625
Dijon mustard,1620
dried thyme,1608
bay leaf,1597
mozzarella cheese,1584
green onions,1583
raisins,1579
cilantro,1564
fresh cilantro,1536
green onion,1516
fresh lemon juice,1507
tomato sauce,1478
onions,1448
sea salt,1447
thyme,1443
red onion,1405
fresh ground pepper,1395
fresh basil,1380
bacon,1366
basil,1357
ground ginger,1348
white pepper,1335
dried basil,1320
ground nutmeg,1294
ginger,1277
bay leaves,1263
lemon,1251
diced tomatoes,1238
vinegar,1227
dry white wine,1219
crushed red pepper flakes,1180
red wine vinegar,1167
ground cloves,1158
chocolate chips,1143
red bell pepper,1131
confectioners' sugar,1124
zucchini,1124
potatoes,1116
onion powder,1111
ketchup,1109
red pepper flakes,1108
white wine,1036
lime juice,1026
cheese,994
fresh thyme,994
dry mustard,990
fresh ginger,956
monterey jack cheese,901
lemon zest,897
half-and-half,894
Tabasco sauce,884
curry powder,874
cayenne,863
light brown sugar,853
feta cheese,851
beef broth,831
salsa,824
green pepper,824
cider vinegar,805
bananas,794
turmeric,793
sharp cheddar cheese,781
scallions,767
sesame seeds,761
chives,742
white sugar,740
black beans,738
ground beef,732
black olives,715
whole wheat flour,715
allspice,709
green bell pepper,708
prepared mustard,707
ground coriander,681
maple syrup,680
pure vanilla extract,674
red wine,665
shortening,664
vegetable broth,654
avocado,654
boiling water,648
white vinegar,644
evaporated milk,640
mushrooms,629
apples,626
lettuce,623
capers,622
swiss cheese,617
molasses,615
clove,613
lime,609
flat leaf parsley,592
shrimp,581
flour tortillas,580
chicken,580
cold water,579
fresh chives,579
fresh rosemary,577
cherry tomatoes,573
yellow onion,571
dark brown sugar,556
seasoning salt,549
blueberries,549
pine nuts,546
low sodium chicken broth,538
fresh dill,537
cucumber,536
hot water,536
dried parsley,535
icing sugar,535
fresh lime juice,534
provolone cheese,533
coconut,533
plain yogurt,531
green chilies,530
skim milk,526
orange zest,523
rosemary,522
ground allspice,522
coconut milk,521
boneless skinless chicken breasts,520
chicken breasts,498
celery seed,495
white wine vinegar,495
shallot,494
cooked rice,487
apple cider vinegar,487
mushroom,487
cream of tartar,487
fish sauce,484
scallion,483
ground pepper,479
spinach,471
celery ribs,466
apple,464
dry sherry,462
banana,458
cabbage,455
corn,448
dried cranberries,444
crushed tomatoes,442
cocoa powder,440
of fresh mint,440
heavy whipping cream,439
mustard,437
orange,434
rice,433
cornmeal,425
ham,421
dried rosemary,420
rolled oats,420
rice vinegar,417
applesauce,417
fresh mushrooms,416
peanut butter,415
basil leaves,407
dry red wine,401
